RequirementText,Availability (A),Fault Tolerance (FT),Legal (L),Look & Feel (LF),Maintainability (MN),Operability (O),Performance (PE),Portability (PO),Scalability (SC),Security (SE),Usability (US),num_labels
'The system shall refresh the display every 60 seconds.',0,0,0,0,0,0,1,0,0,0,0,1
'The application shall match the color of the schema set forth by Department of Homeland Security',0,0,1,1,0,0,0,0,0,0,0,2
'If projected the data must be readable. On a 10x10 projection screen 90% of viewers must be able to read Event / Activity data from a viewing distance of 30',0,0,0,1,0,0,0,0,0,0,1,2
'The product shall be available during normal business hours. As long as the user has access to the client PC the system will be available 99% of the time during the first six months of operation.',1,0,0,0,0,0,0,0,0,0,0,1
'If projected the data must be understandable. On a 10x10 projection screen 90% of viewers must be able to determine that Events or Activities are occuring in current time from a viewing distance of 100',0,0,0,1,0,0,0,0,0,0,1,2
'The product shall ensure that it can only be accessed by authorized users. The product will be able to distinguish between authorized and unauthorized users in all access attempts',0,0,0,0,0,0,0,0,0,1,0,1
'The product shall be intuitive and self-explanatory. : 90% of new users shall be able to start the display of Events or Activities within 90 minutes of using the product.',0,0,0,0,0,0,0,0,0,0,1,1
'The product shall respond fast to keep up-to-date data in the display.',0,0,0,0,0,0,1,0,0,0,0,1
'The display shall have two regions: left 2/3 of the display is graphical right 1/3 of the display is a data table',0,0,0,1,0,0,0,0,0,0,0,1
'The table side of the display shall be split into 2 regions: sequential and temporal.',0,0,0,1,0,0,0,0,0,0,0,1
'The top 1/4 of the table will hold events that are to occur sequentially.',0,0,0,1,0,0,0,0,0,0,0,1
'The bottom 3/4 of the table will hold events that occur according to its relevance to current time.',0,0,0,1,0,0,0,0,0,0,0,1
'The system shall color code events according to their variance from current time.',0,0,0,1,0,0,0,0,0,0,0,1
'The system shall display data from the Sync Matrix 1.0 and Exercise Management Tool 1.0 applications',0,0,0,1,0,0,0,0,0,0,0,1
'The system shall link Events back to either the Sync Matrix 1.0 or the Exercise Managment Tool 1.0 applications for modifications.',0,0,0,0,1,0,0,1,0,0,0,2
'The look and feel of the system shall conform to the user interface standards of the smart device.',0,0,0,1,0,0,0,0,0,0,0,1
